,STATION_ID,EXTERNAL_LOCATION_ID,UNIT,IMPORT_SOURCE,EXTERNAL_PARAMETER_ID,TIMESTEP_HOUR
173,4FF9F918F61091344EC96446278CA5B6072F0491,4FF9F918F61091344EC96446278CA5B6072F0491,centimetre,WHOS,80B052462E277E0F7D3002CA6C67E481CD953CDC,
190,89ED5621BAC6447FBA6D0D57E593784ABA7B23F0,89ED5621BAC6447FBA6D0D57E593784ABA7B23F0,centimetre,WHOS,80B052462E277E0F7D3002CA6C67E481CD953CDC,
203,2AF72ACF15204809972EE54160AB079C39E4A8BF,2AF72ACF15204809972EE54160AB079C39E4A8BF,centimetre,WHOS,80B052462E277E0F7D3002CA6C67E481CD953CDC,
212,E57265AFC92D10C234710408EC69ECA1454B0BE7,E57265AFC92D10C234710408EC69ECA1454B0BE7,centimetre,WHOS,80B052462E277E0F7D3002CA6C67E481CD953CDC,
246,2F12488193F66939384E07C2FD757FDAF2781D52,2F12488193F66939384E07C2FD757FDAF2781D52,cubic metres per second,WHOS,B9240615C51DA438E9E02C9858887F1EE726EE2E,744.0
285,61E2F61769D326D7DC1544C1824AB5133EE45E76,61E2F61769D326D7DC1544C1824AB5133EE45E76,metre,WHOS,18B45DF252F7DA893176183AC320E03418ED5969,744.0
292,FFCFE436DD09AF565614E8B1C3BC760A845363EB,FFCFE436DD09AF565614E8B1C3BC760A845363EB,centimetre,WHOS,80B052462E277E0F7D3002CA6C67E481CD953CDC,
304,6A24F7B4BBFA5FDC3455795F38CE850F9F63D0E1,6A24F7B4BBFA5FDC3455795F38CE850F9F63D0E1,metre,WHOS,18B45DF252F7DA893176183AC320E03418ED5969,744.0
321,C332462973E15747344FF24D27B9A7E907D00213,C332462973E15747344FF24D27B9A7E907D00213,centimetre,WHOS,80B052462E277E0F7D3002CA6C67E481CD953CDC,
366,901008C03E1C33084DF85358EE5D2EE59815B566,901008C03E1C33084DF85358EE5D2EE59815B566,centimetre,WHOS,80B052462E277E0F7D3002CA6C67E481CD953CDC,
372,8D372DABF113C947E796CE8016D3ED27162ECE1E,8D372DABF113C947E796CE8016D3ED27162ECE1E,centimetre,WHOS,80B052462E277E0F7D3002CA6C67E481CD953CDC,
377,CF19FF829AE97795CF4437981BED23CA62A597F9,CF19FF829AE97795CF4437981BED23CA62A597F9,metre,WHOS,6AA6C8AF684BF2DAC15E4B7D7B38EC2FF631A3A8,
395,3D6199412BFA3DFEAB30DD9E0E4C7EEFEB6DECE1,3D6199412BFA3DFEAB30DD9E0E4C7EEFEB6DECE1,metre,WHOS,47BEF10439748057FFDEAC0E655B86E41E327C0B,744.0
420,60E81309946591BE948AD2560C4EB1F338B278F7,60E81309946591BE948AD2560C4EB1F338B278F7,centimetre,WHOS,80B052462E277E0F7D3002CA6C67E481CD953CDC,
452,47660627436A20DDC7D98444A4A3C7C3E58A3DEF,47660627436A20DDC7D98444A4A3C7C3E58A3DEF,metre,WHOS,47BEF10439748057FFDEAC0E655B86E41E327C0B,744.0
454,A6B8F21B3BFD9E07674DE51DBFA5CBD8F10EA07E,A6B8F21B3BFD9E07674DE51DBFA5CBD8F10EA07E,centimetre,WHOS,80B052462E277E0F7D3002CA6C67E481CD953CDC,
457,B76F89BC3A30F644310F1CC4C611C7EA6047DA7A,B76F89BC3A30F644310F1CC4C611C7EA6047DA7A,metre,WHOS,47BEF10439748057FFDEAC0E655B86E41E327C0B,744.0
464,8101FAD5D0461E15D1DE9E128EE93A9E8634CC54,8101FAD5D0461E15D1DE9E128EE93A9E8634CC54,metre,WHOS,E02E2A436A24C1DB98D819A4705B8089856A9579,
536,6F42F1B7675A133899D3DB3CC57A3D7938B0DD77,6F42F1B7675A133899D3DB3CC57A3D7938B0DD77,centimetre,WHOS,80B052462E277E0F7D3002CA6C67E481CD953CDC,
