,STATION_ID,EXTERNAL_LOCATION_ID,UNIT,IMPORT_SOURCE,EXTERNAL_PARAMETER_ID,TIMESTEP_HOUR
111,380AF4EB6F06C7627EF644106B0A2DF38CBF66CF,380AF4EB6F06C7627EF644106B0A2DF38CBF66CF,cubic metres per second,WHOS,5C34E7D199E2643B1AA949D920942C576A406AB4,
128,D2F1BC8CE246E3F7B22B3F39864D909CCE011F4E,D2F1BC8CE246E3F7B22B3F39864D909CCE011F4E,cubic metres per second,WHOS,5C34E7D199E2643B1AA949D920942C576A406AB4,
144,63E351F30B2341EC914E45088AB1E5F2E28BE91C,63E351F30B2341EC914E45088AB1E5F2E28BE91C,cubic metres per second,WHOS,5C34E7D199E2643B1AA949D920942C576A406AB4,
168,588230A4E9F7E8B48E57262B53FC4BBE511DB6D6,588230A4E9F7E8B48E57262B53FC4BBE511DB6D6,cubic metres per second,WHOS,CEE1F03F85E1231A57C7E756527ED41B9C43820B,24.0
182,0627A0F3A97873D9469B3E0C3E81178489C79B9B,0627A0F3A97873D9469B3E0C3E81178489C79B9B,cubic metres per second,WHOS,5C34E7D199E2643B1AA949D920942C576A406AB4,
215,9D32520DE08C8A1BBFF300EA9E25D3A6D27B79ED,9D32520DE08C8A1BBFF300EA9E25D3A6D27B79ED,cubic metres per second,WHOS,5C34E7D199E2643B1AA949D920942C576A406AB4,
252,A7C3FC9B7BB02720B22A4F225A251CAE7B7EBF6F,A7C3FC9B7BB02720B22A4F225A251CAE7B7EBF6F,cubic metres per second,WHOS,5C34E7D199E2643B1AA949D920942C576A406AB4,
272,EE492E81A3329B940C2E2E75912AD2B4EF12A7C4,EE492E81A3329B940C2E2E75912AD2B4EF12A7C4,cubic metres per second,WHOS,5C34E7D199E2643B1AA949D920942C576A406AB4,
314,4DFC3316636E8B57FD720A76D9C03A98C71680FF,4DFC3316636E8B57FD720A76D9C03A98C71680FF,cubic metres per second,WHOS,5C34E7D199E2643B1AA949D920942C576A406AB4,
317,6162BCEDE99BDDB6C933FE1B6CED32A6E18BEC0D,6162BCEDE99BDDB6C933FE1B6CED32A6E18BEC0D,cubic metres per second,WHOS,5C34E7D199E2643B1AA949D920942C576A406AB4,
326,D6CCC62C3EA6C5439B9DBFC23CDF3B23D85F1F5B,D6CCC62C3EA6C5439B9DBFC23CDF3B23D85F1F5B,cubic metres per second,WHOS,5C34E7D199E2643B1AA949D920942C576A406AB4,
336,626EAD7C4C92BFE090DF7FEB764B7F253FDCB777,626EAD7C4C92BFE090DF7FEB764B7F253FDCB777,cubic metres per second,WHOS,5C34E7D199E2643B1AA949D920942C576A406AB4,
412,3E1DF23CE26D64955BDB9DEAF5FEEAD036CFF59F,3E1DF23CE26D64955BDB9DEAF5FEEAD036CFF59F,cubic metres per second,WHOS,472D1E733D426DC0A514D0BD6A2AAA7541CCEC3A,
463,416AB05CD926D746D82D7982AC8CC7E5DD8315AE,416AB05CD926D746D82D7982AC8CC7E5DD8315AE,cubic metres per second,WHOS,5C34E7D199E2643B1AA949D920942C576A406AB4,
485,8CA0D53AEDB593694B9A03472D807099DE23F048,8CA0D53AEDB593694B9A03472D807099DE23F048,cubic metres per second,WHOS,5C34E7D199E2643B1AA949D920942C576A406AB4,
519,B76F89BC3A30F644310F1CC4C611C7EA6047DA7A,B76F89BC3A30F644310F1CC4C611C7EA6047DA7A,cubic metres per second,WHOS,CD59B39DBBD02109859570B58EAA33621CD1F85B,744.0
529,39AB11D73056C3A84F57812BE65A6D84DFFE90E5,39AB11D73056C3A84F57812BE65A6D84DFFE90E5,cubic metres per second,WHOS,472D1E733D426DC0A514D0BD6A2AAA7541CCEC3A,
566,F64182AA13A258BEF8C5AD4895ADC79B6E4FBF22,F64182AA13A258BEF8C5AD4895ADC79B6E4FBF22,cubic metres per second,WHOS,5C34E7D199E2643B1AA949D920942C576A406AB4,
589,C584066BED820975E3B4AF4A571D79C94D9AFE60,C584066BED820975E3B4AF4A571D79C94D9AFE60,cubic metres per second,WHOS,5C34E7D199E2643B1AA949D920942C576A406AB4,
599,36ADC58B9214FF931893C790F050DC41F3A4DBD0,36ADC58B9214FF931893C790F050DC41F3A4DBD0,cubic metres per second,WHOS,5C34E7D199E2643B1AA949D920942C576A406AB4,
619,2F05C02E3E1CE6882B07AFFD60EEFA565B3F8D6C,2F05C02E3E1CE6882B07AFFD60EEFA565B3F8D6C,cubic metres per second,WHOS,5C34E7D199E2643B1AA949D920942C576A406AB4,
630,54A39CE5346710635159AD7CE0172644A5E8B016,54A39CE5346710635159AD7CE0172644A5E8B016,cubic metres per second,WHOS,5C34E7D199E2643B1AA949D920942C576A406AB4,
653,99B209143133F334C9EF1130A76FA366A6DE1C68,99B209143133F334C9EF1130A76FA366A6DE1C68,cubic metres per second,WHOS,5C34E7D199E2643B1AA949D920942C576A406AB4,
678,39AB11D73056C3A84F57812BE65A6D84DFFE90E5,39AB11D73056C3A84F57812BE65A6D84DFFE90E5,cubic metres per second,WHOS,15A8E68572CD0E538D6520C8ABD34F5680CFF81A,
693,C345E776AF7877FD43DB5681445E40432ECE8D3D,C345E776AF7877FD43DB5681445E40432ECE8D3D,cubic metres per second,WHOS,5C34E7D199E2643B1AA949D920942C576A406AB4,
736,E8A363BD24877A003CCB0920945472A73D2FEB26,E8A363BD24877A003CCB0920945472A73D2FEB26,cubic metres per second,WHOS,5C34E7D199E2643B1AA949D920942C576A406AB4,
745,778FA69E6E84459F91219A3BAC62D25E23178801,778FA69E6E84459F91219A3BAC62D25E23178801,cubic metres per second,WHOS,5C34E7D199E2643B1AA949D920942C576A406AB4,
747,2DF0FDF02E507BECE06B528809CFE12A02772D1B,2DF0FDF02E507BECE06B528809CFE12A02772D1B,cubic metres per second,WHOS,5C34E7D199E2643B1AA949D920942C576A406AB4,
751,EE37D1C6284817437AEEE83B24378A691648C0EE,EE37D1C6284817437AEEE83B24378A691648C0EE,cubic metres per second,WHOS,5C34E7D199E2643B1AA949D920942C576A406AB4,
773,C63B5EEE14E9C073AC7876975923377C11848E5B,C63B5EEE14E9C073AC7876975923377C11848E5B,cubic metres per second,WHOS,5C34E7D199E2643B1AA949D920942C576A406AB4,
808,3B93872364B832074540F17E1A42551EC3F90E92,3B93872364B832074540F17E1A42551EC3F90E92,cubic metres per second,WHOS,5C34E7D199E2643B1AA949D920942C576A406AB4,
866,F4170149BEB81FA173DA4A941ED6C9445567DE3A,F4170149BEB81FA173DA4A941ED6C9445567DE3A,cubic metres per second,WHOS,5C34E7D199E2643B1AA949D920942C576A406AB4,
876,C10F3AE2C14FD128C137FBA9D40AA1847500491E,C10F3AE2C14FD128C137FBA9D40AA1847500491E,cubic metres per second,WHOS,5C34E7D199E2643B1AA949D920942C576A406AB4,
882,F535E74FC5FC2C742EECFEFD03DB7ED405569DAF,F535E74FC5FC2C742EECFEFD03DB7ED405569DAF,cubic metres per second,WHOS,5C34E7D199E2643B1AA949D920942C576A406AB4,
884,6D607C0EE6ABD5EBB5C485929AF8235B3913083C,6D607C0EE6ABD5EBB5C485929AF8235B3913083C,cubic metres per second,WHOS,5C34E7D199E2643B1AA949D920942C576A406AB4,
917,8356DB9C638A20ED54AC27CE2C3DC945A560DB4F,8356DB9C638A20ED54AC27CE2C3DC945A560DB4F,cubic metres per second,WHOS,5C34E7D199E2643B1AA949D920942C576A406AB4,
918,12D3C7F7012A2129A12661ADA465E5A9044CD191,12D3C7F7012A2129A12661ADA465E5A9044CD191,cubic metres per second,WHOS,5C34E7D199E2643B1AA949D920942C576A406AB4,
940,C9C3E04E854AD5A206F5AF59DB8EDDF283EE7496,C9C3E04E854AD5A206F5AF59DB8EDDF283EE7496,cubic metres per second,WHOS,5C34E7D199E2643B1AA949D920942C576A406AB4,
