STATION_ID,TOOLTIP,ORGANIZATION,STATION_NAME,LATITUDE,COUNTRY,STATION_SHORTNAME,ALTITUDE,LONGITUDE,SUBBASIN
02674D9CA6E801F228A84649FD6F7CD6EAE3525B,VACARIA - CENTRO,WHOS,VACARIA - CENTRO,-28.478,Brazil,VACARIA-CENT,,-50.965,
026A12451A5B9BD6E54B125B70500B786E8C57ED,CGH AGUDO JUSANTE,WHOS,CGH AGUDO JUSANTE,-27.5278,Brazil,CGHAGUDOJUSA,,-51.5228,
0274DDFE569E25244095D2BEEB6ACE490D73E0BE,SAO PAULO - JARAGUA,WHOS,SAO PAULO - JARAGUA,-23.47999999,Brazil,SAOPAULO-JAR,,-46.76194444,
028C9C242E6EC5C6CBA6796A39CC408266FE5F35,GARIMPAGEM,WHOS,GARIMPAGEM,-18.7136,Brazil,GARIMPAGEM,,-54.5672,
028F26A72DD585EEE4BD9B003C39A6723AFCB1C9,PCH CARLOS GONZATTO BARRAMENTO,WHOS,PCH CARLOS GONZATTO BARRAMENTO,-27.6247,Brazil,PCHCARLOSGON,,-53.8028,
02984AA91EBC9DF43C7DEE87A64F8019628526D7,PORTO LUCENA,WHOS,PORTO LUCENA,-27.8525,Brazil,PORTOLUCENA,,-55.0256,
029DBE2448BAE9EF9237C4C769C217DA0996AD0D,PONTES E LACERDA - JARDIM MARILIA,WHOS,PONTES E LACERDA - JARDIM MARILIA,-15.2243,Brazil,PONTESELACER,,-59.32018,
02B1DC1D4E677523B62D178FD30C169147DEC3E4,PCH SÃO JOSÉ MONTANTE 1,WHOS,PCH SÃO JOSÉ MONTANTE 1,-21.9389,Brazil,PCHSÃOJOSÉMO,,-46.8161,
02C67FD58B548C13E63A8CC7ED989262099CA6B0,BLUMENAU - GARCIA,WHOS,BLUMENAU - GARCIA,-26.938,Brazil,BLUMENAU-GAR,,-49.057,
02CAD82339DC404C01A3251987868DDDC6FF3AAD,REGISTRO - REGISTRO,WHOS,REGISTRO - REGISTRO,-24.4945,Brazil,REGISTRO-REG,,-47.8468,
02D6119F1F488D4A06DC88DE53AEA4DA0E5A6649,CAPINZAL - CENTRO,WHOS,CAPINZAL - CENTRO,-27.343,Brazil,CAPINZAL-CEN,,-51.614,
02DEE6E7F46268C921F06B19A6AEA78B30666A2A,PCH INDAIÁ GRANDE MONTANTE 2,WHOS,PCH INDAIÁ GRANDE MONTANTE 2,-19.2067,Brazil,PCHINDAIÁGRA,,-52.3378,
