,STATION_ID,STATION_NAME,STATION_SHORTNAME,TOOLTIP,LATITUDE,LONGITUDE,ALTITUDE,TYPE,COUNTRY,ORGANIZATION,SUBBASIN,PARENT_ID
124,6567,CIRHBAS - MET EL GUANAGAN RP13,CIRHBAS-METE,CIRHBAS - MET EL GUANAGAN RP13,-28.7297222222222,-60.9019444444444,,,Argentina,INA,Rio Parana,AR_INA_6567
125,78,Salto Grande Abajo,SaltoGrandeA,Salto Grande Abajo,-31.27547,-57.936945,,,Argentina,INA,Rio Uruguay,AR_INA_78
126,7242,Aº Tapalqué - Av de los Trabaj,AºTapalqué-A,Aº Tapalqué - Av de los Trabaj,-36.8791666666667,-60.3108333333333,,,Argentina,INA,Rio de la Plata,AR_INA_7242
127,6397,Aº Pergamino - Pergamino,AºPergamino-,Aº Pergamino - Pergamino,-33.9041666666667,-60.5702777777778,,,Argentina,INA,Rio Parana,AR_INA_6397
128,175,Emilia - Ruta Provincial nº 62,Emilia-RutaP,Emilia - Ruta Provincial nº 62,-31.042868,-60.841003,,,Argentina,INA,Rio Parana,AR_INA_175
129,5912,Paraná - Timbúes,Paraná-Timbú,Paraná - Timbúes,-32.7197222222222,-60.7261111111111,,,Argentina,INA,Rio Parana,AR_INA_5912
130,2820,PN - Centro Operativo Santa Ro,PN-CentroOpe,PN - Centro Operativo Santa Ro,-27.2852777777778,-65.8719444444444,,,Argentina,INA,,AR_INA_2820
131,5900,Paraná - Diamante,Paraná-Diama,Paraná - Diamante,-32.0577777777778,-60.645,,,Argentina,INA,Rio Parana,AR_INA_5900
132,2112,Gualeguaychú - RN Nº 14,Gualeguaychú,Gualeguaychú - RN Nº 14,-32.7680555555556,-58.4983333333333,,,Argentina,INA,Rio Uruguay,AR_INA_2112
133,6615,Uruguay - Garruchos,Uruguay-Garr,Uruguay - Garruchos,-28.1772222222222,-55.6422222222222,,,Argentina,INA,Rio Uruguay,AR_INA_6615
134,6360,Saladillo - Dique Aforador,Saladillo-Di,Saladillo - Dique Aforador,-32.9316666666667,-62.3322222222222,,,Argentina,INA,Rio Parana,AR_INA_6360
135,12,Libertador,Libertador,Libertador,-26.8,-55.0333333333333,,,Argentina,INA,Rio Parana,AR_INA_12
136,7190,CIRHBAS - LIM CANAL LINEA PARANA TRAMO IV,CIRHBAS-LIMC,CIRHBAS - LIM CANAL LINEA PARANA TRAMO IV,-27.9977777777778,-60.7155555555556,,,Argentina,INA,Rio Parana,AR_INA_7190
137,6551,Uruguay - Monte Caseros,Uruguay-Mont,Uruguay - Monte Caseros,-30.2516666666667,-57.6216666666667,,,Argentina,INA,Rio Uruguay,AR_INA_6551
138,32,Victoria,Victoria,Victoria,-32.6558456373673,-60.2195849446607,,,Argentina,INA,Rio Parana,AR_INA_32
139,1680,Cululú - RP50-s,Cululú-RP50-,Cululú - RP50-s,-31.254531,-60.887765,,,Argentina,INA,Rio Parana,AR_INA_1680
