STATION_ID,EXTERNAL_LOCATION_ID,EXTERNAL_PARAMETER_ID,TIMESTEP_HOUR,UNIT,IMPORT_SOURCE,THRESHOLD_LOW,THRESHOLD_YELLOW,THRESHOLD_RED,IMPORT,THRESHOLD_p05,THRESHOLD_p50,THRESHOLD_p95,LATITUDE,LONGITUDE,ALTITUDE,COUNTRY,ORGANIZATION,SUBBASIN
2162,2162,39,24.0,m,INA,,,,True,,,,-43.6997222222222,-71.3058333333333,,Argentina,INA,
2163,2163,39,24.0,m,INA,,,,True,,,,-45.0016666666667,-71.1680555555556,,Argentina,INA,
2164,2164,39,24.0,m,INA,,,,True,,,,-49.7972222222222,-72.0641666666667,,Argentina,INA,
2165,2165,39,24.0,m,INA,,,,True,,,,-50.2522222222222,-71.9077777777778,,Argentina,INA,
2166,2166,39,24.0,m,INA,,,,True,,,,-27.1008333333333,-65.6361111111111,,Argentina,INA,
2175,2175,39,24.0,m,INA,,,,True,,,,-25.4136111111111,-63.9761111111111,,Argentina,INA,Rio Parana
2177,2177,39,24.0,m,INA,,,,True,,,,-25.3452777777778,-64.045,,Argentina,INA,Rio Parana
2178,2178,39,24.0,m,INA,,,,True,,,,-25.5905555555556,-53.995,,Argentina,INA,Rio Parana
2179,2179,39,24.0,m,INA,,,,True,,,,-43.7219444444444,-71.2338888888889,,Argentina,INA,
2180,2180,39,24.0,m,INA,,,,True,,,,-35.1686111111111,-66.4963888888889,,Argentina,INA,
2181,2181,39,24.0,m,INA,,,,True,,,,-43.6983333333333,-66.475,,Argentina,INA,
2183,2183,39,24.0,m,INA,,,,True,,,,-32.9152777777778,-69.2377777777778,,Argentina,INA,
2184,2184,39,24.0,m,INA,,,,True,,,,-41.9425,-71.5605555555556,,Argentina,INA,
2185,2185,39,24.0,m,INA,,,,True,,,,-29.795,-62.8061111111111,,Argentina,INA,
2187,2187,39,24.0,m,INA,,,,True,,,,-22.3266666666667,-64.1263888888889,,Argentina,INA,Rio Paraguay
2188,2188,39,24.0,m,INA,,,,True,,,,-26.3341666666667,-59.3625,,Argentina,INA,Rio Paraguay
2193,2193,39,24.0,m,INA,,,,True,,,,-25.6511111111111,-60.1280555555556,,Argentina,INA,Rio Paraguay
2194,2194,39,24.0,m,INA,,,,True,,,,-26.6605555555556,-58.6338888888889,,Argentina,INA,Rio Paraguay
2196,2196,39,24.0,m,INA,,,,True,,,,-27.9930555555556,-67.6269444444444,,Argentina,INA,
2197,2197,39,24.0,m,INA,,,,True,,,,-29.1058333333333,-62.5761111111111,,Argentina,INA,Rio Parana
2198,2198,39,24.0,m,INA,,,,True,,,,-29.0311111111111,-58.7883333333333,,Argentina,INA,Rio Parana
