STATION_ID,STATION_NAME,EXTERNAL_LOCATION_ID,EXTERNAL_PARAMETER_ID,TIMESTEP_HOUR,UNIT,IMPORT_SOURCE,THRESHOLD_LOW,THRESHOLD_YELLOW,THRESHOLD_ORANGE,THRESHOLD_RED,THRESHOLD_WATERINTAKE,THRESHOLD_NAVIGATION,THRESHOLD_MEAN,THRESHOLD_P05,THRESHOLD_P10,THRESHOLD_P90,THRESHOLD_P95,IMPORT,LATITUDE,LONGITUDE,ALTITUDE,TYPE,COUNTRY,ORGANIZATION,SUBBASIN,PARENT_ID,CHILD_ID
46,Puerto Ruiz,46,39,24.0,m,INA,0.8,4.5,,5.0,,,,,,,,True,-33.2166666667,-59.3666666667,,Conventional,Argentina,INA,Rio Parana,AR_INA_46,AR_INA_46_INA_24_H
48,Guazucito,48,39,24.0,m,INA,0.3,2.2,,2.4,,,,,,,,True,-34.0166666667,-58.4,,Conventional,Argentina,INA,Rio Parana,AR_INA_48,AR_INA_48_INA_24_H
49,Tigre,49,39,24.0,m,INA,0.3,3.3,,3.8,,,,,,,,True,-34.4159316389634,-58.5779747237367,,Conventional,Argentina,INA,Rio Parana,AR_INA_49,AR_INA_49_INA_24_H
50,Dique Luján,50,39,24.0,m,INA,0.3,2.3,,2.8,,,,,,,,True,-34.351576,-58.686115,,Conventional,Argentina,INA,Rio Parana,AR_INA_50,AR_INA_50_INA_24_H
51,Chaná Miní,51,39,24.0,m,INA,1.0,3.2,,3.8,,,,,,,,True,-34.2,-58.4833333333,,Conventional,Argentina,INA,Rio Parana,AR_INA_51,AR_INA_51_INA_24_H
52,San Fernando,52,39,24.0,m,INA,0.33,3.0,,3.5,,,,,,,,True,-34.4333333333,-58.55,,Conventional,Argentina,INA,Rio Parana,AR_INA_52,AR_INA_52_INA_24_H
52,San Fernando,52,85,1.0,m,INA,0.33,3.0,,3.5,,,,,,,,True,-34.4333333333,-58.55,,Conventional,Argentina,INA,Rio Parana,AR_INA_52,AR_INA_52_INA_1_H
53,San Isidro,53,39,24.0,m,INA,0.3,3.0,,3.5,,,,,,,,True,-34.457166,-58.507163,,Conventional,Argentina,INA,Rio Parana,AR_INA_53,AR_INA_53_INA_24_H
54,Olivos,54,39,24.0,m,INA,0.2,3.0,,3.8,,,0.978319677498823,0.25326503243277,,,1.92387975923351,True,-34.506666,-58.475863,,Conventional,Argentina,INA,Rio Parana,AR_INA_54,AR_INA_54_INA_24_H
55,Puerto Pilcomayo,55,39,24.0,m,INA,1.4,5.35,,6.0,,,3.79639344267506,2.0274180294386,,,6.93181692837366,True,-25.3666666666667,-57.65,,Conventional,Argentina,INA,Rio Paraguay,AR_INA_55,AR_INA_55_INA_24_H
57,Puerto Formosa,57,39,24.0,m,INA,1.6,7.8,,8.3,,,,,,,,True,-26.1833333333333,-58.1833333333333,,Conventional,Argentina,INA,Rio Paraguay,AR_INA_57,AR_INA_57_INA_24_H
58,Bermejo,58,39,24.0,m,INA,,6.5,,7.0,,,4.42636613311663,2.39561474290702,,,7.23965846645376,True,-26.92629,-58.506205,,Conventional,Argentina,INA,Rio Paraguay,AR_INA_58,AR_INA_58_INA_24_H
59,Isla del Cerrito,59,39,24.0,m,INA,2.5995,,,,,,,,,,,True,-27.3166666666667,-58.6166666666667,,Conventional,Argentina,INA,Rio Parana,AR_INA_59,AR_INA_59_INA_24_H
60,Pepirí Miní,60,39,24.0,m,INA,,,,,,,2.26960381328082,0.255464482650446,,,7.69056013373078,True,-27.153744,-53.933149,,Conventional,Argentina,INA,Rio Uruguay,AR_INA_60,AR_INA_60_INA_24_H
61,El Soberbio,61,39,24.0,m,INA,,,,,,,1.81463114453144,0.596693991556194,,,5.60314206933715,True,-27.3,-54.2,,Conventional,Argentina,INA,Rio Uruguay,AR_INA_61,AR_INA_61_INA_24_H
63,Alba Posse,63,39,24.0,m,INA,,,,,,,2.44308742147977,0.0337841534895486,,,6.08049180989708,True,-27.572,-54.678494,,Conventional,Argentina,INA,Rio Uruguay,AR_INA_63,AR_INA_63_INA_24_H
64,Panambí,64,39,24.0,m,INA,,,,,,,1.82979506840471,0.0226775953352777,,,4.35334702072248,True,-27.730627,-54.91305,,Conventional,Argentina,INA,Rio Uruguay,AR_INA_64,AR_INA_64_INA_24_H
65,San Javier,65,39,24.0,m,INA,0.82,8.0,,10.0,,,1.96999999082805,0.870300543275687,,,5.17136611508541,True,-27.8833333333333,-55.1333333333333,,Conventional,Argentina,INA,Rio Uruguay,AR_INA_65,AR_INA_65_INA_24_H
66,Puerto Concepción,66,39,24.0,m,INA,0.904,15.5,,16.5,,,,,,,,True,-28.119193,-55.581369,,Conventional,Argentina,INA,Rio Uruguay,AR_INA_66,AR_INA_66_INA_24_H
67,Garruchos,67,39,24.0,m,INA,0.03,12.0,,14.0,,,1.90946720369527,0.0816680310075197,,,7.79982237737687,True,-28.1833333333333,-55.65,,Conventional,Argentina,INA,Rio Uruguay,AR_INA_67,AR_INA_67_INA_24_H
68,Santo Tomé,68,39,24.0,m,INA,1.32,11.5,,12.5,,,3.62389344009545,1.43000000356976,,,9.02189890804187,True,-28.55,-56.0333333333333,,Conventional,Argentina,INA,Rio Uruguay,AR_INA_68,AR_INA_68_INA_24_H
69,Alvear,69,39,24.0,m,INA,0.89,9.5,,11.0,,,,,,,,True,-29.1,-56.55,,Conventional,Argentina,INA,Rio Uruguay,AR_INA_69,AR_INA_69_INA_24_H
70,La Cruz,70,39,24.0,m,INA,0.26,9.5,,11.5,,,,,,,,True,-29.18062,-56.633977,,Conventional,Argentina,INA,Rio Uruguay,AR_INA_70,AR_INA_70_INA_24_H
71,Yapeyú,71,39,24.0,m,INA,0.0,9.5,,10.5,,,,,,,,True,-29.470031,-56.810674,,Conventional,Argentina,INA,Rio Uruguay,AR_INA_71,AR_INA_71_INA_24_H
72,Paso de los Libres,72,39,24.0,m,INA,0.9,7.5,,8.5,,,3.12535519352376,1.09733606638804,,,7.6301639288501,True,-29.7166666666667,-57.0833333333333,,Conventional,Argentina,INA,Rio Uruguay,AR_INA_72,AR_INA_72_INA_24_H
73,Bompland,73,39,24.0,m,INA,0.0,7.9,,10.8,,,,,,,,True,-29.872652,-57.332887,,Conventional,Argentina,INA,Rio Uruguay,AR_INA_73,AR_INA_73_INA_24_H
74,Monte Caseros,74,39,24.0,m,INA,0.8,7.5,,8.5,,,2.55374317384157,0.780218574518714,,,5.74178961717366,True,-30.25,-57.6333333333333,,Conventional,Argentina,INA,Rio Uruguay,AR_INA_74,AR_INA_74_INA_24_H
75,Mocoretá,75,39,24.0,m,INA,5.24,10.3,,12.0,,,,,,,,True,-30.715682,-57.81776,,Conventional,Argentina,INA,Rio Uruguay,AR_INA_75,AR_INA_75_INA_24_H
76,Federación,76,39,24.0,m,INA,31.25,,,,,,,,,,,True,-30.993221,-57.914682,,Conventional,Argentina,INA,Rio Uruguay,AR_INA_76,AR_INA_76_INA_24_H
77,Salto Grande Arriba,77,39,24.0,m,INA,33.0,35.5,,36.0,,,34.6126230062683,32.2639891254446,,,35.4549178660242,True,-31.27547,-57.936945,,Conventional,Argentina,INA,Rio Uruguay,AR_INA_77,AR_INA_77_INA_24_H
78,Salto Grande Abajo,78,39,24.0,m,INA,5.6,17.3,,17.8,,,,,,,,True,-31.27547,-57.936945,,Conventional,Argentina,INA,Rio Uruguay,AR_INA_78,AR_INA_78_INA_24_H
79,Concordia,79,39,24.0,m,INA,0.88,11.0,,12.5,,,3.95856557452614,1.04502732514358,,,9.91928962410474,True,-31.4,-58.0166666666667,,Conventional,Argentina,INA,Rio Uruguay,AR_INA_79,AR_INA_79_INA_24_H
80,Colón,80,39,24.0,m,INA,0.9,7.1,,7.9,,,2.38453552403737,0.884726774822819,,,6.13672129182868,True,-32.2333333333333,-58.1166666666667,,Conventional,Argentina,INA,Rio Uruguay,AR_INA_80,AR_INA_80_INA_24_H
81,Concepción del Uruguay,81,39,24.0,m,INA,0.8,5.3,,6.3,,,2.00743170220995,0.808674861336015,,,4.8862431824533,True,-32.4833333333333,-58.2333333333333,,Conventional,Argentina,INA,Rio Uruguay,AR_INA_81,AR_INA_81_INA_24_H
82,Campichuelo,82,39,24.0,m,INA,0.0,5.3,,6.3,,,1.83986339054472,0.766980873105304,,,4.16096994199388,True,-32.70101,-58.1834,,Conventional,Argentina,INA,Rio Uruguay,AR_INA_82,AR_INA_82_INA_24_H
83,Puerto Gualeguaychú,83,39,24.0,m,INA,0.5,,,,,,1.46307376759951,0.712759567903039,,,2.85450818434439,True,-33.0166666666667,-58.5,,Conventional,Argentina,INA,Rio Uruguay,AR_INA_83,AR_INA_83_INA_24_H
84,Boca Gualeguaychú,84,39,24.0,m,INA,,2.9,,3.1,,,1.49700819729456,0.741038251607144,,,2.79198086066324,True,-33.0666666666667,-58.4166666666667,,Conventional,Argentina,INA,Rio Uruguay,AR_INA_84,AR_INA_84_INA_24_H
85,Buenos Aires,85,39,24.0,m,INA,0.21,3.3,,3.9,,,,,,,,True,-34.56108,-58.399288,,Conventional,Argentina,INA,Rio de la Plata,AR_INA_85,AR_INA_85_INA_24_H
86,La Plata,86,39,24.0,m,INA,0.3,2.5,,2.8,,,,,,,,True,-34.824196,-57.873546,,Conventional,Argentina,INA,Rio de la Plata,AR_INA_86,AR_INA_86_INA_24_H
99,Gualeguaychú,99,39,24.0,m,INA,0.72,3.5,,3.8,,,,,,,,True,-33.0144444444444,-58.5041666666667,,Conventional,Argentina,INA,Rio Uruguay,AR_INA_99,AR_INA_99_INA_24_H
103,Recreo - Ruta Provincial nº 70,103,39,24.0,m,INA,,4.7,,,,,2.29948087533315,0.206453553103216,,,4.98915300734056,True,-31.4912222222222,-60.7805555555556,,Conventional,Argentina,INA,Rio Parana,AR_INA_103,AR_INA_103_INA_24_H
105,Tostado,105,39,24.0,m,INA,,4.0,,,,,,,,,,True,-29.2751666666667,-61.7439444444444,,Conventional,Argentina,INA,Rio Parana,AR_INA_105,AR_INA_105_INA_24_H
131,Puerto Maní,131,39,24.0,m,INA,0.0,9.5,,10.0,,,,,,,,True,-27.1063611111111,-55.5221666666667,,Conventional,Argentina,INA,Rio Parana,AR_INA_131,AR_INA_131_INA_24_H
175,Emilia - Ruta Provincial nº 62,175,39,24.0,m,INA,,4.5,,,,,,,,,,True,-31.042868,-60.841003,,Conventional,Argentina,INA,Rio Parana,AR_INA_175,AR_INA_175_INA_24_H
1257,Arroyo Borches,1257,39,24.0,m,INA,,,,,,,,,,,,True,-34.0752137139779,-58.4426647718186,,Automatic,Argentina,INA,Rio Parana,AR_INA_1257,AR_INA_1257_INA_24_H
1679,Santo Tomé,1679,39,24.0,m,INA,,4.7,,,,,,,,,,True,-31.667601,-60.752233,,Conventional,Argentina,INA,Rio Parana,AR_INA_1679,AR_INA_1679_INA_24_H
1701,Gualeguaychú FdX,1701,39,24.0,m,INA,,,,,,,,,,,,True,-33.0666666666667,-58.4166666666667,,Automatic,Argentina,INA,Rio Uruguay,AR_INA_1701,AR_INA_1701_INA_24_H
1701,Gualeguaychú FdX,1701,85,1.0,m,INA,,,,,,,,,,,,True,-33.0666666666667,-58.4166666666667,,Automatic,Argentina,INA,Rio Uruguay,AR_INA_1701,AR_INA_1701_INA_1_H
1706,Oyarvide,1706,39,24.0,m,INA,,,,,,,,,,,,True,-35.0999984741211,-57.13330078125,,Automatic,Argentina,INA,Rio de la Plata,AR_INA_1706,AR_INA_1706_INA_24_H
1708,La Plata,1708,39,24.0,m,INA,,,,,,,,,,,,True,-34.8339004516602,-57.8800010681152,,Automatic,Argentina,INA,Rio de la Plata,AR_INA_1708,AR_INA_1708_INA_24_H
1739,Atalaya,1739,39,24.0,m,INA,,,,,,,,,,,,True,-35.015278,-57.536111,,Automatic,Argentina,INA,Rio de la Plata,AR_INA_1739,AR_INA_1739_INA_24_H
1744,Arroyo San Francisco,1744,39,24.0,m,INA,,,,,,,,,,,,True,-34.7277556,-58.3200389,,Automatic,Argentina,INA,Rio de la Plata,AR_INA_1744,AR_INA_1744_INA_24_H
2112,Gualeguaychú - RN Nº 14,2112,39,24.0,m,INA,,,,,,,,,,,,True,-32.7680555555556,-58.4983333333333,,Automatic,Argentina,INA,Rio Uruguay,AR_INA_2112,AR_INA_2112_INA_24_H
2112,Gualeguaychú - RN Nº 14,2112,101,4.0,m,INA,,,,,,,,,,,,True,-32.7680555555556,-58.4983333333333,,Automatic,Argentina,INA,Rio Uruguay,AR_INA_2112,AR_INA_2112_INA_4_H
2113,Aº Colastiné - Autopista - A01,2113,39,24.0,m,INA,,,,,,,,,,,,True,-32.0177777777778,-60.9902777777778,,Automatic,Argentina,INA,Rio Parana,AR_INA_2113,AR_INA_2113_INA_24_H
2113,Aº Colastiné - Autopista - A01,2113,101,4.0,m,INA,,,,,,,,,,,,True,-32.0177777777778,-60.9902777777778,,Automatic,Argentina,INA,Rio Parana,AR_INA_2113,AR_INA_2113_INA_4_H
2115,Paraná - Corrientes,2115,39,24.0,m,INA,3.0,6.5,,7.0,,,,,,,,True,-27.4597222222222,-58.8333333333333,,Automatic,Argentina,INA,Rio Parana,AR_INA_2115,AR_INA_2115_INA_24_H
2115,Paraná - Corrientes,2115,101,4.0,m,INA,3.0,6.5,,7.0,,,,,,,,True,-27.4597222222222,-58.8333333333333,,Automatic,Argentina,INA,Rio Parana,AR_INA_2115,AR_INA_2115_INA_4_H
