STATION_ID,STATION_NAME,STATION_SHORTNAME,TOOLTIP,LATITUDE,LONGITUDE,ALTITUDE,TYPE,COUNTRY,ORGANIZATION,SUBBASIN,PARENT_ID
67,Garruchos,Garruchos,station 67: Garruchos - property of PNA,-28.1833333333333,-55.65,,Conventional,Argentina,INA,Rio Uruguay,AR_INA_67
68,Santo Tomé,TOME,station 68: Santo Tomé - property of PNA,-28.55,-56.0333333333333,,Conventional,Argentina,INA,Rio Uruguay,AR_INA_68
69,Alvear,Alvear,station 69: Alvear - property of PNA,-29.1,-56.55,,Conventional,Argentina,INA,Rio Uruguay,AR_INA_69
70,La Cruz,LaCruz,station 70: La Cruz - property of PNA,-29.18062,-56.633977,,Conventional,Argentina,INA,Rio Uruguay,AR_INA_70
71,Yapeyú,Yapeyú,station 71: Yapeyú - property of PNA,-29.470031,-56.810674,,Conventional,Argentina,INA,Rio Uruguay,AR_INA_71
72,Paso de los Libres,PasodelosLib,station 72: Paso de los Libres - property of PNA,-29.7166666666667,-57.0833333333333,,Conventional,Argentina,INA,Rio Uruguay,AR_INA_72
73,Bompland,Bompland,station 73: Bompland - property of PNA,-29.872652,-57.332887,,Conventional,Argentina,INA,Rio Uruguay,AR_INA_73
74,Monte Caseros,MonteCaseros,station 74: Monte Caseros - property of PNA,-30.25,-57.6333333333333,,Conventional,Argentina,INA,Rio Uruguay,AR_INA_74
75,Mocoretá,Mocoretá,station 75: Mocoretá - property of PNA,-30.715682,-57.81776,,Conventional,Argentina,INA,Rio Uruguay,AR_INA_75
76,Federación,Federación,station 76: Federación - property of PNA,-30.993221,-57.914682,,Conventional,Argentina,INA,Rio Uruguay,AR_INA_76
77,Salto Grande Arriba,SGRANDE,station 77: Salto Grande Arriba - property of PNA,-31.27547,-57.936945,,Conventional,Argentina,INA,Rio Uruguay,AR_INA_77
78,Salto Grande Abajo,SGRANDE,station 78: Salto Grande Abajo - property of PNA,-31.27547,-57.936945,,Conventional,Argentina,INA,Rio Uruguay,AR_INA_78
79,Concordia,null,station 79: Concordia - property of PNA,-31.4,-58.0166666666667,,Conventional,Argentina,INA,Rio Uruguay,AR_INA_79
80,Colón,Colón,station 80: Colón - property of PNA,-32.2333333333333,-58.1166666666667,,Conventional,Argentina,INA,Rio Uruguay,AR_INA_80
81,Concepción del Uruguay,Concepciónde,station 81: Concepción del Uruguay - property of PNA,-32.4833333333333,-58.2333333333333,,Conventional,Argentina,INA,Rio Uruguay,AR_INA_81
82,Campichuelo,Campichuelo,station 82: Campichuelo - property of PNA,-32.70101,-58.1834,,Conventional,Argentina,INA,Rio Uruguay,AR_INA_82
83,Puerto Gualeguaychú,PuertoGualeg,station 83: Puerto Gualeguaychú,-33.0166666666667,-58.5,,Conventional,Argentina,INA,Rio Uruguay,AR_INA_83
84,Boca Gualeguaychú,BocaGualegua,station 84: Boca Gualeguaychú - property of PNA,-33.0666666666667,-58.4166666666667,,Conventional,Argentina,INA,Rio Uruguay,AR_INA_84
85,Buenos Aires,BuenosAires,station 85: Buenos Aires - property of PNA,-34.56108,-58.399288,,Conventional,Argentina,INA,Rio de la Plata,AR_INA_85
86,La Plata,LaPlata,station 86: La Plata - property of PNA,-34.824196,-57.873546,,Conventional,Argentina,INA,Rio de la Plata,AR_INA_86
87,Yacyretá afluente,YACY,station 87: Yacyretá afluente,-27.482557,-56.727244,,Conventional,Argentina,INA,Rio Parana,AR_INA_87
88,Yacyretá efluente,Yacyretáeflu,station 88: Yacyretá efluente,-27.482557,-56.727244,,Conventional,Argentina,INA,Rio Parana,AR_INA_88
93,Confluencia,CONFLU,station 93: Confluencia - property of Itaipu,-25.592701,-54.593363,,Conventional,Argentina,INA,Rio Parana,AR_INA_93
99,Gualeguaychú,Gualeguaychú,station 99: Gualeguaychú - property of PNA,-33.0144444444444,-58.5041666666667,,Conventional,Argentina,INA,Rio Uruguay,AR_INA_99
103,Recreo - Ruta Provincial nº 70,SALADO,station 103: Recreo - Ruta Provincial nº 70 - property of RHN-SSRH,-31.4912222222222,-60.7805555555556,,Conventional,Argentina,INA,Rio Parana,AR_INA_103
105,Tostado,TOSTADO,station 105: Tostado - property of RHN-SSRH,-29.2751666666667,-61.7439444444444,,Conventional,Argentina,INA,Rio Parana,AR_INA_105
131,Puerto Maní,PuertoManí,station 131: Puerto Maní - property of PNA,-27.1063611111111,-55.5221666666667,,Conventional,Argentina,INA,Rio Parana,AR_INA_131
