STATION_ID,EXTERNAL_LOCATION_ID,EXTERNAL_PARAMETER_ID,TIMESTEP_HOUR,UNIT,IMPORT_SOURCE,THRESHOLD_YELLOW,THRESHOLD_ORANGE,THRESHOLD_RED,THRESHOLD_MEAN,THRESHOLD_P05,THRESHOLD_P10,THRESHOLD_P90,THRESHOLD_P95,IMPORT,LATITUDE,LONGITUDE,ALTITUDE,TYPE,COUNTRY,ORGANIZATION,SUBBASIN
0-76-0-4110201000000117,1E5E02DB42BF2807728FA6C0D084588606DFE02C,AEAF735EBFC73611C8A50B6D0319BD4258B45918,24.0,millimetre,WHOS,,,,,,,,,True,-25.567879,-51.077946,,,Brazil,INMET,Rio Parana
0-76-4-61774200,AC0DF33F60C059213EDFB4B415C43FB76CB3C14D,AEAF735EBFC73611C8A50B6D0319BD4258B45918,24.0,millimetre,WHOS,,,,,,,,,True,-20.8533,-47.2669,,,Brazil,WHOS,Rio Parana
0-76-4-86404000,F02655F1DC248DCD5E07226C0F66D506B7012884,AEAF735EBFC73611C8A50B6D0319BD4258B45918,24.0,millimetre,WHOS,,,,,,,,,True,-28.5931,-51.3983,,,Brazil,WHOS,
0-76-4-82230815,94B9F54157385CAF7FE7B21BBAA605E4625904FB,AEAF735EBFC73611C8A50B6D0319BD4258B45918,24.0,millimetre,WHOS,,,,,,,,,True,-25.7122,-48.9706,,,Brazil,WHOS,
0-76-4-63000100,9E0485E938B2172997ABEA1E4AC080F1F72E1FB3,AEAF735EBFC73611C8A50B6D0319BD4258B45918,24.0,millimetre,WHOS,,,,,,,,,True,-18.5478,-53.1228,,,Brazil,WHOS,Rio Parana
0-76-4-86125120,B8E145D9C7558FE057984415E26A299D2ED76472,AEAF735EBFC73611C8A50B6D0319BD4258B45918,24.0,millimetre,WHOS,,,,,,,,,True,-28.5719,-51.3111,,,Brazil,WHOS,
0-76-4-73437000,B8E28A438382EC9A0281774630C5E4E2F4240B30,AEAF735EBFC73611C8A50B6D0319BD4258B45918,24.0,millimetre,WHOS,,,,,,,,,True,-27.4964,-52.8031,,,Brazil,WHOS,Rio Uruguay
0-76-4-61734080,77FF7D620295853E5765EF7043F15067197BB866,AEAF735EBFC73611C8A50B6D0319BD4258B45918,24.0,millimetre,WHOS,,,,,,,,,True,-20.0211,-47.4358,,,Brazil,WHOS,Rio Parana
0-76-4-56674000,6B2EA358BBA20DD0D94B198667AB3B6BE36358B4,AEAF735EBFC73611C8A50B6D0319BD4258B45918,24.0,millimetre,WHOS,,,,,,,,,True,-19.7686,-43.0358,,,Brazil,WHOS,
0-76-4-62400600,C5A7EBF93210A3054BE7A93F50056B06FB194BBB,AEAF735EBFC73611C8A50B6D0319BD4258B45918,24.0,millimetre,WHOS,,,,,,,,,True,-23.1083,-47.1806,,,Brazil,WHOS,Rio Parana
0-76-4-60551000,C162759D7A821CD6C2212DF3B967195E7D508C19,AEAF735EBFC73611C8A50B6D0319BD4258B45918,24.0,millimetre,WHOS,,,,,,,,,True,-18.4903,-46.9281,,,Brazil,WHOS,Rio Parana
0-76-4-64314700,78809EBB24DFD6AE4F03CF8F23E4475E18729622,AEAF735EBFC73611C8A50B6D0319BD4258B45918,24.0,millimetre,WHOS,,,,,,,,,True,-22.8453,-49.1622,,,Brazil,WHOS,Rio Parana
0-76-4-24500000,75B77C2B27FD1330D05003B1A5E2AE966EB11C7B,AEAF735EBFC73611C8A50B6D0319BD4258B45918,24.0,millimetre,WHOS,,,,,,,,,True,-16.0778,-53.5481,,,Brazil,WHOS,
0-76-0-3301702000000022,798E0C6F24EDEADBC7332374140ED55A3A7FE26E,AEAF735EBFC73611C8A50B6D0319BD4258B45918,24.0,millimetre,WHOS,,,,,,,,,True,-22.58972221,-43.28222221,,,Brazil,INMET,
0-76-4-65808500,957AA85C0CF2E35C02324B9E8AC01E613CA5DAD2,AEAF735EBFC73611C8A50B6D0319BD4258B45918,24.0,millimetre,WHOS,,,,,,,,,True,-25.4431,-51.4464,,,Brazil,WHOS,Rio Parana
0-76-4-81710000,83ED516E0606A257DA91030AC120DB494ED9C754,AEAF735EBFC73611C8A50B6D0319BD4258B45918,24.0,millimetre,WHOS,,,,,,,,,True,-24.6897,-48.0014,,,Brazil,WHOS,
0-76-4-60791800,40150A851E1A5BEAE1E222DEB5CDC61EFEEBBC6F,AEAF735EBFC73611C8A50B6D0319BD4258B45918,24.0,millimetre,WHOS,,,,,,,,,True,-17.6539,-50.4767,,,Brazil,WHOS,Rio Parana
0-76-4-64230400,B50A39F4EB15941B4E195E47F7E5C9494FC6F8CC,AEAF735EBFC73611C8A50B6D0319BD4258B45918,24.0,millimetre,WHOS,,,,,,,,,True,-24.1503,-49.4853,,,Brazil,WHOS,Rio Parana
0-76-4-72815000,C77DBE91666788714C6AFFC286E48ED77C30E74F,AEAF735EBFC73611C8A50B6D0319BD4258B45918,24.0,millimetre,WHOS,,,,,,,,,True,-27.0881,-51.2578,,,Brazil,WHOS,Rio Uruguay
0-76-4-64773750,92FC2EED2ED14376DA27F6BD87D6F0B2EF595CA9,AEAF735EBFC73611C8A50B6D0319BD4258B45918,24.0,millimetre,WHOS,,,,,,,,,True,-24.7644,-52.4308,,,Brazil,WHOS,Rio Parana
0-76-4-56650500,D46E2744563D46AC4588E10055B7DADC435C5FB6,AEAF735EBFC73611C8A50B6D0319BD4258B45918,24.0,millimetre,WHOS,,,,,,,,,True,-19.8411,-43.3528,,,Brazil,WHOS,
0-76-4-74695000,984E44A241AED9461C942005A425F970D3D1BC4B,AEAF735EBFC73611C8A50B6D0319BD4258B45918,24.0,millimetre,WHOS,,,,,,,,,True,-27.7294,-54.4094,,,Brazil,WHOS,Rio Uruguay
0-76-4-60910300,2E52EFBB8337502E2DF3B8E949AFB9362C41FEED,AEAF735EBFC73611C8A50B6D0319BD4258B45918,24.0,millimetre,WHOS,,,,,,,,,True,-18.5756,-51.4736,,,Brazil,WHOS,Rio Parana
0-76-4-64850050,742E4C575B0A3A589835881C0C5C9E4BAEC3263E,AEAF735EBFC73611C8A50B6D0319BD4258B45918,24.0,millimetre,WHOS,,,,,,,,,True,-24.4717,-53.9986,,,Brazil,WHOS,Rio Parana
0-76-4-74351000,2084F2D373A328097B1729BA47721EFF2AC4FD67,AEAF735EBFC73611C8A50B6D0319BD4258B45918,24.0,millimetre,WHOS,,,,,,,,,True,-27.5589,-53.5764,,,Brazil,WHOS,Rio Uruguay
