STATION_ID,EXTERNAL_LOCATION_ID,EXTERNAL_PARAMETER_ID,TIMESTEP_HOUR,UNIT,IMPORT_SOURCE,THRESHOLD_LOW,THRESHOLD_YELLOW,THRESHOLD_RED,IMPORT,THRESHOLD_p05,THRESHOLD_p50,THRESHOLD_p95,LATITUDE,LONGITUDE,ALTITUDE,TYPE,COUNTRY,ORGANIZATION,SUBBASIN
66,66,2,,m,INA,0.904,15.5,16.5,True,1.10204917192459,2.35121038604955,6.13329236103537,-28.119193,-55.581369,,Conventional,Argentina,INA,Rio Uruguay
67,67,2,,m,INA,0.03,12.0,14.0,True,0.0822814190302227,1.91274316454194,7.80370216812592,-28.1833333333333,-55.65,,Conventional,Argentina,INA,Rio Uruguay
68,68,2,,m,INA,1.3,11.5,12.5,True,1.43004918391587,3.62405737631959,9.02992897476655,-28.55,-56.0333333333333,,Conventional,Argentina,INA,Rio Uruguay
69,69,2,,m,INA,0.89,9.5,11.0,True,1.4106147535186,3.48294262286744,8.29252182199655,-29.1,-56.55,,Conventional,Argentina,INA,Rio Uruguay
70,70,2,,m,INA,0.26,9.5,11.5,True,1.21859289860465,3.39945901873333,8.3105928793631,-29.18062,-56.633977,,Conventional,Argentina,INA,Rio Uruguay
71,71,2,,m,INA,0.0,9.5,10.5,True,1.2045683068493,3.15422131324726,7.65945357181987,-29.470031,-56.810674,,Conventional,Argentina,INA,Rio Uruguay
72,72,2,,m,INA,1.4,7.5,8.5,True,1.09733606638804,3.12533606792408,7.6301366110317,-29.7166666666667,-57.0833333333333,,Conventional,Argentina,INA,Rio Uruguay
73,73,2,,m,INA,0.0,7.9,10.8,True,1.01957377196987,2.93203004657245,6.62530054941855,-29.872652,-57.332887,,Conventional,Argentina,INA,Rio Uruguay
74,74,2,,m,INA,0.8,7.5,8.5,True,0.781549175173207,2.55674590471664,5.75162843016327,-30.25,-57.6333333333333,,Conventional,Argentina,INA,Rio Uruguay
75,75,2,,m,INA,5.24,10.3,12.0,True,6.16469671426575,8.33910656105625,9.42324314482225,-30.715682,-57.81776,,Conventional,Argentina,INA,Rio Uruguay
76,76,2,,m,INA,31.25,,,True,19.4285110056075,34.339234993106,35.4551204097727,-30.993221,-57.914682,,Conventional,Argentina,INA,Rio Uruguay
77,77,2,,m,INA,33.0,35.5,36.0,True,32.263948133083,34.6125929577103,35.4548850658813,-31.27547,-57.936945,,Conventional,Argentina,INA,Rio Uruguay
78,78,2,,m,INA,5.6,17.3,17.8,True,1.37660382135868,6.82787432826933,12.6508824994655,-31.27547,-57.936945,,Conventional,Argentina,INA,Rio Uruguay
79,79,2,,m,INA,1.7,11.0,12.5,True,1.04549180655206,3.96353825128795,9.93302185939309,-31.4,-58.0166666666667,,Conventional,Argentina,INA,Rio Uruguay
80,80,2,,m,INA,1.4,7.1,7.9,True,0.884890709255562,2.38702186144115,6.14385516526269,-32.2333333333333,-58.1166666666667,,Conventional,Argentina,INA,Rio Uruguay
81,81,2,,m,INA,0.9,5.3,6.3,True,0.809002730038648,2.0090546523287,4.88830055760556,-32.4833333333333,-58.2333333333333,,Conventional,Argentina,INA,Rio Uruguay
82,82,2,,m,INA,0.0,5.3,6.3,True,0.767448087207607,1.8433387992812,4.15602185556797,-32.70101,-58.1834,,Conventional,Argentina,INA,Rio Uruguay
84,84,2,,m,INA,,2.9,3.1,True,0.741393443176655,1.498647541622,2.78981419469489,-33.0666666666667,-58.4166666666667,,Conventional,Argentina,INA,Rio Uruguay
85,85,2,,m,INA,0.5,3.3,3.9,True,0.241950818688655,0.955475409825643,1.84016393768331,-34.56108,-58.399288,,Conventional,Argentina,INA,Rio de la Plata
