,STATION_ID,STATION_NAME,STATION_SHORTNAME,TOOLTIP,LATITUDE,LONGITUDE,ALTITUDE,TYPE,COUNTRY,ORGANIZATION,SUBBASIN
1385,0-76-4-60436350,UHE CORUMBA IV FAZENDA BELA VISTA,UHECORUMBAIV,UHE CORUMBA IV FAZENDA BELA VISTA,-16.0211,-48.2703,,,Brazil,WHOS,Rio Parana
1386,0-76-4-56787100,PCH DONA RITA JUSANTE,PCHDONARITAJ,PCH DONA RITA JUSANTE,-19.3317,-43.0703,,,Brazil,WHOS,
1387,0-76-4-63003200,UHE JUPIA FAZENDA SAO SEBASTIAO,UHEJUPIAFAZE,UHE JUPIA FAZENDA SAO SEBASTIAO,-20.205,-52.0878,,,Brazil,WHOS,Rio Parana
1388,0-76-0-5005152000000384,JUTI,JUTI,JUTI,-22.85722222,-54.60555555,,,Brazil,INMET,Rio Parana
1389,0-76-0-3304557000000024,RIO DE JANEIRO-MARAMBAIA,RIODEJANEIRO,RIO DE JANEIRO-MARAMBAIA,-23.05027777,-43.59555555,,,Brazil,INMET,
1390,19052,SALTO GRANDE CS,SALTOGRANDEC,SALTO GRANDE CS,-22.9036111,-49.9977778,,,Brazil,SAR - Agência Nacional de Águas (ANA),Rio Parana
1391,1069,Chajarí,Chajarí,Chajarí,-30.776241,-58.141889,,,Uruguay,INA,Rio Uruguay
1392,0-76-4-60444700,UHE CORUMBA IV CAMPO LIMPO,UHECORUMBAIV,UHE CORUMBA IV CAMPO LIMPO,-16.3269,-48.5953,,,Brazil,WHOS,Rio Parana
1393,0-76-0-3121605000000209,DIAMANTINA,DIAMANTINA,DIAMANTINA,-18.231052,-43.648269,,,Brazil,INMET,
1394,0-76-4-2143064,PCH MARMELOS SE JUIZ DE FORA,PCHMARMELOSS,PCH MARMELOS SE JUIZ DE FORA,-21.7114,-43.4031,,,Brazil,WHOS,
1395,0-76-0-5006903000000122,PORTO MURTINHO,PORTOMURTINH,PORTO MURTINHO,-21.70583333,-57.88666666,,,Brazil,INMET,Rio Paraguay
1396,0-76-4-20100000,JARAGUA,JARAGUA,JARAGUA,-15.7242,-49.3219,,,Brazil,WHOS,
1397,0-76-1-5300108000W83378,BRASILIA - AEROPORTO,BRASILIA-AER,BRASILIA - AEROPORTO,-15.872928,-47.924084,,,Brazil,WHOS,Rio Parana
1398,0-76-0-3550209000000093,SAO MIGUEL ARCANJO,SAOMIGUELARC,SAO MIGUEL ARCANJO,-23.85194444,-48.16472222,,,Brazil,INMET,Rio Parana
1399,0-76-0-4108601000000119,GOIOERE,GOIOERE,GOIOERE,-24.18388888,-53.04888888,,,Brazil,INMET,Rio Parana
