STATION_ID,EXTERNAL_LOCATION_ID,EXTERNAL_PARAMETER_ID,TIMESTEP_HOUR,UNIT,IMPORT_SOURCE
D2F1BC8CE246E3F7B22B3F39864D909CCE011F4E,D2F1BC8CE246E3F7B22B3F39864D909CCE011F4E,5C34E7D199E2643B1AA949D920942C576A406AB4,,cubic metres per second,WHOS
63E351F30B2341EC914E45088AB1E5F2E28BE91C,63E351F30B2341EC914E45088AB1E5F2E28BE91C,5C34E7D199E2643B1AA949D920942C576A406AB4,,cubic metres per second,WHOS
643F82526B8AB98F37CF685B9A12392397CC1750,643F82526B8AB98F37CF685B9A12392397CC1750,15A8E68572CD0E538D6520C8ABD34F5680CFF81A,,cubic metres per second,WHOS
0627A0F3A97873D9469B3E0C3E81178489C79B9B,0627A0F3A97873D9469B3E0C3E81178489C79B9B,5C34E7D199E2643B1AA949D920942C576A406AB4,,cubic metres per second,WHOS
9229FDB5CDCC74D98ED623EDBCDD577031C36ACC,9229FDB5CDCC74D98ED623EDBCDD577031C36ACC,472D1E733D426DC0A514D0BD6A2AAA7541CCEC3A,,cubic metres per second,WHOS
9D32520DE08C8A1BBFF300EA9E25D3A6D27B79ED,9D32520DE08C8A1BBFF300EA9E25D3A6D27B79ED,5C34E7D199E2643B1AA949D920942C576A406AB4,,cubic metres per second,WHOS
A7C3FC9B7BB02720B22A4F225A251CAE7B7EBF6F,A7C3FC9B7BB02720B22A4F225A251CAE7B7EBF6F,5C34E7D199E2643B1AA949D920942C576A406AB4,,cubic metres per second,WHOS
EE492E81A3329B940C2E2E75912AD2B4EF12A7C4,EE492E81A3329B940C2E2E75912AD2B4EF12A7C4,5C34E7D199E2643B1AA949D920942C576A406AB4,,cubic metres per second,WHOS
A88D8CBB57F5FC8B3BFA3637D243C94D16205212,A88D8CBB57F5FC8B3BFA3637D243C94D16205212,472D1E733D426DC0A514D0BD6A2AAA7541CCEC3A,,cubic metres per second,WHOS
4DFC3316636E8B57FD720A76D9C03A98C71680FF,4DFC3316636E8B57FD720A76D9C03A98C71680FF,5C34E7D199E2643B1AA949D920942C576A406AB4,,cubic metres per second,WHOS
