STATION_ID,EXTERNAL_LOCATION_ID,EXTERNAL_PARAMETER_ID,TIMESTEP_HOUR,UNIT,IMPORT_SOURCE,THRESHOLD_LOW_WATERS,THRESHOLD_FLOOD_ALERT,THRESHOLD_EVACUATION,THRESHOLD_ene_mean,THRESHOLD_ene_p01,THRESHOLD_ene_p10,THRESHOLD_ene_p50,THRESHOLD_ene_p90,THRESHOLD_ene_p99,THRESHOLD_feb_mean,THRESHOLD_feb_p01,THRESHOLD_feb_p10,THRESHOLD_feb_p50,THRESHOLD_feb_p90,THRESHOLD_feb_p99,THRESHOLD_mar_mean,THRESHOLD_mar_p01,THRESHOLD_mar_p10,THRESHOLD_mar_p50,THRESHOLD_mar_p90,THRESHOLD_mar_p99,THRESHOLD_apr_mean,THRESHOLD_apr_p01,THRESHOLD_apr_p10,THRESHOLD_apr_p50,THRESHOLD_apr_p90,THRESHOLD_apr_p99,THRESHOLD_may_mean,THRESHOLD_may_p01,THRESHOLD_may_p10,THRESHOLD_may_p50,THRESHOLD_may_p90,THRESHOLD_may_p99,THRESHOLD_jun_mean,THRESHOLD_jun_p01,THRESHOLD_jun_p10,THRESHOLD_jun_p50,THRESHOLD_jun_p90,THRESHOLD_jun_p99,THRESHOLD_jul_mean,THRESHOLD_jul_p01,THRESHOLD_jul_p10,THRESHOLD_jul_p50,THRESHOLD_jul_p90,THRESHOLD_jul_p99,THRESHOLD_aug_mean,THRESHOLD_aug_p01,THRESHOLD_aug_p10,THRESHOLD_aug_p50,THRESHOLD_aug_p90,THRESHOLD_aug_p99,THRESHOLD_sep_mean,THRESHOLD_sep_p01,THRESHOLD_sep_p10,THRESHOLD_sep_p50,THRESHOLD_sep_p90,THRESHOLD_sep_p99,THRESHOLD_oct_mean,THRESHOLD_oct_p01,THRESHOLD_oct_p10,THRESHOLD_oct_p50,THRESHOLD_oct_p90,THRESHOLD_oct_p99,THRESHOLD_nov_mean,THRESHOLD_nov_p01,THRESHOLD_nov_p10,THRESHOLD_nov_p50,THRESHOLD_nov_p90,THRESHOLD_nov_p99,THRESHOLD_dec_mean,THRESHOLD_dec_p01,THRESHOLD_dec_p10,THRESHOLD_dec_p50,THRESHOLD_dec_p90,THRESHOLD_dec_p99
30,30,39,24.0,m,INA,2.6,5.3,5.7,3.248,-0.153,1.949,3.13,4.86,6.483,3.706,0.111,2.39,3.7,5.74,6.199,3.82,0.817,2.321,3.81,5.74,6.438,3.749,0.951,2.251,3.665,5.317,6.672,3.702,0.662,1.98,3.86,4.89,7.21,3.433,0.439,2.272,3.4,4.668,6.114,3.306,0.058,2.259,3.285,4.671,5.472,2.989,-0.11,2.07,3.0,4.401,5.112,2.685,0.31,1.743,2.6,4.009,4.944,2.864,0.325,1.87,2.79,3.798,5.314,3.327,0.571,2.1,3.41,4.859,5.695,3.256,0.57,1.971,3.11,4.768,5.772
31,31,39,24.0,m,INA,2.4,5.3,5.5,3.37,-0.2,1.82,3.27,5.42,6.285,3.751,-0.038,2.371,3.81,5.43,6.079,3.867,0.799,2.371,3.935,5.6,6.018,3.806,0.895,2.291,3.855,5.258,6.138,3.764,0.554,1.92,4.0,4.9,6.592,3.518,0.348,2.24,3.49,4.94,5.826,3.389,0.022,2.24,3.33,4.88,5.54,3.051,-0.13,2.032,3.1,4.39,5.225,2.722,0.279,1.7,2.61,4.11,4.94,2.957,0.292,1.987,2.97,3.901,5.274,3.414,0.528,2.02,3.585,4.853,5.56,3.332,0.563,1.814,3.245,4.89,5.494
32,32,39,24.0,m,INA,2.6,4.6,5.9,3.393,0.86,2.31,3.3,4.71,6.431,3.684,0.601,2.622,3.55,5.78,6.5,3.882,1.422,2.82,3.87,5.65,6.377,3.917,1.601,2.65,3.825,5.6,6.218,3.875,0.927,2.24,3.92,4.93,7.353,3.69,1.206,2.5,3.74,4.54,6.37,3.513,1.028,2.6,3.56,4.54,5.296,3.294,1.015,2.56,3.3,4.25,5.1,3.095,1.3,2.32,3.02,4.21,4.67,3.088,1.03,2.4,3.02,4.1,4.85,3.382,1.052,2.68,3.38,4.25,5.449,3.43,1.171,2.45,3.445,4.587,5.718
33,33,39,24.0,m,INA,2.3,5.2,5.7,3.237,-0.37,1.688,3.23,4.846,5.96,3.698,-0.237,2.34,3.8,5.6,5.899,3.848,0.497,2.205,4.08,5.585,5.901,3.792,0.491,2.115,3.86,5.45,5.956,3.775,0.22,1.745,4.04,5.01,6.712,3.523,0.173,2.036,3.54,4.784,5.993,3.371,0.017,2.14,3.44,4.82,5.373,3.049,-0.283,1.914,3.14,4.53,5.19,2.712,0.146,1.595,2.62,4.26,5.0,2.824,0.0,1.428,2.86,3.92,5.273,3.377,0.276,1.89,3.58,4.808,5.524,3.275,0.303,1.74,3.26,4.8,5.578
34,34,39,24.0,m,INA,2.6,5.0,5.25,2.956,-0.291,1.55,2.96,4.45,5.53,3.37,-0.145,2.081,3.42,5.209,5.528,3.507,0.454,2.031,3.7,5.15,5.51,3.49,0.65,1.95,3.52,5.069,5.467,3.49,0.412,1.59,3.75,4.59,6.342,3.272,0.238,1.886,3.31,4.36,5.681,3.122,0.008,1.998,3.25,4.432,4.98,2.836,-0.202,1.8,2.95,4.15,4.784,2.511,0.158,1.51,2.42,3.89,4.522,2.642,0.178,1.634,2.62,3.658,4.8,3.092,0.278,1.83,3.29,4.293,5.07,3.022,0.447,1.64,2.98,4.409,5.154
35,35,39,24.0,m,INA,1.9,4.0,4.5,2.543,-0.162,0.94,2.425,4.288,5.2,2.952,-0.139,1.68,2.92,4.992,5.32,3.057,0.281,1.688,3.12,4.876,5.179,3.051,0.452,1.43,3.0,4.762,5.206,3.034,0.18,0.85,3.235,4.21,6.35,2.834,0.158,1.138,2.875,3.923,5.673,2.707,0.008,1.216,2.79,4.13,4.612,2.51,-0.1,1.332,2.605,3.8,4.226,2.28,0.198,1.293,2.2,3.487,4.033,2.3,0.187,1.133,2.285,3.25,4.29,2.71,0.198,1.515,2.83,3.785,4.685,2.614,0.277,1.029,2.61,3.917,4.703
36,36,39,24.0,m,INA,1.8,4.2,5.0,2.315,-0.061,1.1,2.26,3.49,4.92,2.65,-0.02,1.541,2.65,4.463,5.061,2.751,0.401,1.551,2.81,4.369,4.888,2.764,0.663,1.43,2.74,4.298,4.88,2.77,0.318,1.2,2.86,3.63,6.15,2.575,0.288,1.42,2.54,3.44,5.411,2.435,0.118,1.489,2.49,3.491,4.304,2.22,-0.112,1.34,2.24,3.316,3.88,1.99,0.28,1.22,1.88,3.046,3.592,2.086,0.296,1.34,2.06,2.878,3.932,2.424,0.347,1.5,2.54,3.3,4.384,2.35,0.374,1.29,2.28,3.42,4.313
37,37,39,24.0,m,INA,1.6,3.5,4.0,2.058,-0.124,0.835,2.0,3.185,4.721,2.371,-0.112,1.3,2.37,4.114,4.797,2.462,0.25,1.26,2.49,4.118,4.683,2.491,0.45,1.131,2.42,3.94,4.799,2.512,0.1,1.05,2.59,3.34,5.906,2.33,0.1,1.244,2.28,3.2,5.208,2.193,0.045,1.25,2.22,3.196,4.055,1.985,-0.15,1.082,2.0,3.0,3.59,1.772,0.198,1.02,1.68,2.76,3.31,1.85,0.225,1.08,1.84,2.648,3.58,2.141,0.014,1.141,2.275,2.9,3.986,2.088,0.2,0.953,2.05,3.109,3.884
38,38,39,24.0,m,INA,1.5,3.4,3.6,1.654,0.048,0.7,1.56,2.64,3.966,1.89,0.151,0.96,1.82,3.35,4.14,1.958,0.3,0.96,1.92,3.439,4.0,2.024,0.362,0.9,1.98,3.3,4.438,2.069,0.148,0.94,2.06,2.8,5.424,1.907,0.176,0.982,1.86,2.699,4.751,1.775,0.12,0.94,1.74,2.74,3.584,1.61,0.036,0.8,1.6,2.48,2.904,1.461,0.281,0.78,1.36,2.3,2.76,1.519,0.196,0.8,1.5,2.22,2.964,1.739,0.141,1.0,1.78,2.38,3.432,1.668,0.174,0.84,1.63,2.56,3.204
39,39,39,24.0,m,INA,1.4,2.7,3.1,1.377,0.05,0.452,1.25,2.319,3.612,1.643,0.15,0.75,1.55,2.983,3.922,1.708,0.158,0.8,1.58,3.013,3.868,1.747,0.2,0.7,1.68,2.934,4.423,1.688,0.1,0.55,1.7,2.45,4.248,1.552,0.1,0.65,1.54,2.47,2.69,1.488,0.05,0.6,1.46,2.505,2.755,1.422,0.02,0.5,1.44,2.35,2.765,1.301,0.2,0.58,1.28,2.07,2.45,1.279,0.15,0.6,1.3,1.901,2.13,1.506,0.07,0.8,1.55,2.2,2.692,1.459,0.065,0.6,1.44,2.382,2.9
