STATION_ID,STATION_NAME,STATION_SHORTNAME,TOOLTIP,LATITUDE,LONGITUDE,ALTITUDE,COUNTRY,ORGANIZATION,SUBBASIN
C3D667548720AE76C2F7C14E4425FCB15E4B787C,COTIA - JARDIM ADELINA,COTIA-JARDIM,COTIA - JARDIM ADELINA,-23.602,-46.931,,Brazil,,
C3D9BBB9F4D9C2BEA7149CA51B452D1CC35DC534,COTIA - PARQUE MIGUEL MIRIZOLA,COTIA-PARQUE,COTIA - PARQUE MIGUEL MIRIZOLA,-23.5801,-46.9176,,Brazil,,
C3E408D1F195AB1BA50B4DAD894C6D3272CA02B4,TEUTONIA -  ARROIO BOA VISTA,TEUTONIA-ARR,TEUTONIA -  ARROIO BOA VISTA,-29.467322,-51.80812,,Brazil,,
C3E708333D34E6346D8AF308E34857DDC26A03F1,PCH CASTRO MONTANTE 1,PCHCASTROMON,PCH CASTRO MONTANTE 1,-24.7506,-50.0881,,Brazil,National Water Agency of Brazil,
C3F9A47C710069B27F49A04D93660F94A7C7F27D,CACAPAVA DO SUL - BR290,CACAPAVADOSU,CACAPAVA DO SUL - BR290,-30.33862,-53.27022,,Brazil,,
C4022F804DF7B2BF42E4B526D357D3ADB7609F2B,SAN IGNACIO DE VELAS,SANIGNACIODE,SAN IGNACIO DE VELAS,-16.616670000000003,-60.95,,,SLLP,
C41C6875C679FE9377AB278ADC9344755F6B23FA,SANTO ANDRE - SITIO DOS VIANAS,SANTOANDRE-S,SANTO ANDRE - SITIO DOS VIANAS,-23.710186,-46.517644,,Brazil,,
C41CA6AB7AC1DDE484149B7E6B1C50503B651EDA,SAO VICENTE - MORRO VOTURUA,SAOVICENTE-M,SAO VICENTE - MORRO VOTURUA,-23.959427,-46.361482,,Brazil,,
C43143EE49CE29CDD9886731AC1BA34BAABB5B56,CHARQUEADA - CHARQUEADA01,CHARQUEADA-C,CHARQUEADA - CHARQUEADA01,-22.52502,-47.78768,,Brazil,,
C441395D1635B0F2583914982A9A0A0EC54ED754,PCH DONA RITA JUSANTE,PCHDONARITAJ,PCH DONA RITA JUSANTE,-19.3317,-43.0703,,Brazil,National Water Agency of Brazil,
C444FAA2C19498CF988BBC31CBC2941E7C2F9DA1,COLÔNIA RIO VERDE,COLÔNIARIOVE,COLÔNIA RIO VERDE,-25.16,-48.2425,,Brazil,National Water Agency of Brazil,
C44D413F1C34822424358B1B8495B18F41AA8F7E,BRUSQUE - POCO FUNDO,BRUSQUE-POCO,BRUSQUE - POCO FUNDO,-27.134,-48.886,,Brazil,,
C456C4A2BCB46053263AECDD2EB82B9F6D8365CF,UHE SALTO PILÃO BARRAMENTO,UHESALTOPILÃ,UHE SALTO PILÃO BARRAMENTO,-27.1372,-49.5189,,Brazil,National Water Agency of Brazil,
C45AE0BE73F613A66E6B5851A7787C3E15880967,SANTO ANDRE - VILA SUICA,SANTOANDRE-V,SANTO ANDRE - VILA SUICA,-23.698,-46.493,,Brazil,,
C46CCABD455047ED3D67617A500D86E214722D29,SAO JOSE DOS CAMPOS - JARDIM JUSSARA,SAOJOSEDOSCA,SAO JOSE DOS CAMPOS - JARDIM JUSSARA,-23.187,-45.869,,Brazil,,
C470FF4064C13006840B6B3B153125B6567571D9,LAJEADO,LAJEADO,LAJEADO,-29.43,-51.95,,Brazil,INMET,
C471F5BEF16EE2387C05BC66A5FDCD72E8B589FA,PIRANGA - ROSARIO,PIRANGA-ROSA,PIRANGA - ROSARIO,-20.682525,-43.30182,,Brazil,,
C474A60BF785B21884C929DCE2FA03D39481414F,PUC-SP,PUC-SP,PUC-SP,-23.53,-46.63,,Brazil,INMET,
C48529C243F413F38C93B9F431FF14767ED25DD4,PORTO BELO - CENTRO,PORTOBELO-CE,PORTO BELO - CENTRO,-27.15488,-48.54205,,Brazil,,
