STATION_ID,EXTERNAL_LOCATION_ID,EXTERNAL_PARAMETER_ID,TIMESTEP_HOUR,UNIT,IMPORT_SOURCE
570A4E75FD59E0331063C6BBC09934993E9D0D99,570A4E75FD59E0331063C6BBC09934993E9D0D99,D2DB8BC2930F82D1E5EFA6B529F0262EB0FFE994,,millimetre,WHOS
F2698F35147D2B20F7EF43F45E9F84F38477EBE0,F2698F35147D2B20F7EF43F45E9F84F38477EBE0,D2DB8BC2930F82D1E5EFA6B529F0262EB0FFE994,,millimetre,WHOS
FB601EE3C6DB51CEA85F7AD7FCD21C13540CC2B8,FB601EE3C6DB51CEA85F7AD7FCD21C13540CC2B8,5C817E8F57D758E6F6BCECEDBFD9745F6DF894FC,1.0,millimetre,WHOS
4CB773867D2130509950CB4D2686A153C8CE6F19,4CB773867D2130509950CB4D2686A153C8CE6F19,D2DB8BC2930F82D1E5EFA6B529F0262EB0FFE994,,millimetre,WHOS
84EF1293E14DCCAA114617BFB2DAAFCDF8F53980,84EF1293E14DCCAA114617BFB2DAAFCDF8F53980,D2DB8BC2930F82D1E5EFA6B529F0262EB0FFE994,,millimetre,WHOS
ACBAD26810C5E4AF330E029B7CB508F9456D9E32,ACBAD26810C5E4AF330E029B7CB508F9456D9E32,7075721786F52D17847D1D6369D0F3E794795E5C,3.0,millimetre,WHOS
55243F7789FF9CEF76B109DEBFA5D5778388737B,55243F7789FF9CEF76B109DEBFA5D5778388737B,3E4D685B1B2B4A439738E82360E8541EC66BE7F4,,millimetre,WHOS
6503960D1115120EA7E2D2A5337C22D5AA324EFB,6503960D1115120EA7E2D2A5337C22D5AA324EFB,64E7218F9074369739F0B30C1E74C66B25930556,,millimetre,WHOS
986E76E87E0F7E102A5EDFB6F95404AC65430D04,986E76E87E0F7E102A5EDFB6F95404AC65430D04,D2DB8BC2930F82D1E5EFA6B529F0262EB0FFE994,,millimetre,WHOS
94584575C25596E22E2675E53A5029967D5890E5,94584575C25596E22E2675E53A5029967D5890E5,D2DB8BC2930F82D1E5EFA6B529F0262EB0FFE994,,millimetre,WHOS
